epoch,step,test/acc,test/acc_best,test/f1_score,test/loss,train/acc,train/f1_score,train/loss,val/acc,val/f1_score,val/loss
0,179,,,,,,,,0.4616336524486542,0.5854793787002563,2.416124105453491
0,179,,,,,0.22231429815292358,0.21207302808761597,3.796049118041992,,,
1,359,,,,,,,,0.6021039485931396,0.7292290329933167,1.5914130210876465
1,359,,,,,0.48606446385383606,0.4879398047924042,2.1839451789855957,,,
2,539,,,,,,,,0.6582095623016357,0.7771292924880981,1.321138858795166
2,539,,,,,0.5859466791152954,0.5909780263900757,1.6691316366195679,,,
3,719,,,,,,,,0.6852310299873352,0.7991477251052856,1.1742119789123535
3,719,,,,,0.6372835636138916,0.6427346467971802,1.4154077768325806,,,
4,899,,,,,,,,0.7068894505500793,0.8151022791862488,1.0916844606399536
4,899,,,,,0.6746630668640137,0.6797390580177307,1.2498215436935425,,,
5,1079,,,,,,,,0.7227723002433777,0.8281095623970032,1.028663992881775
5,1079,,,,,0.6972565054893494,0.7032238841056824,1.1377819776535034,,,
6,1259,,,,,,,,0.7252475023269653,0.8288994431495667,1.0061115026474
6,1259,,,,,0.7242552638053894,0.729288637638092,1.049808144569397,,,
7,1439,,,,,,,,0.7330858111381531,0.8335548043251038,0.9708346724510193
7,1439,,,,,0.7437083125114441,0.74835205078125,0.9737439155578613,,,
8,1619,,,,,,,,0.7423679828643799,0.8408542275428772,0.9410873651504517
8,1619,,,,,0.7621145248413086,0.7687119245529175,0.896378755569458,,,
9,1799,,,,,,,,0.7483498454093933,0.8465127944946289,0.9259480237960815
9,1799,,,,,0.7766824960708618,0.7826585173606873,0.8440341949462891,,,
10,1800,0.7320792078971863,0.7320792078971863,0.834503710269928,0.9778168797492981,,,,,,
