epoch,step,test/acc,test/acc_best,test/f1_score,test/loss,train/acc,train/f1_score,train/loss,val/acc,val/f1_score,val/loss
0,179,,,,,,,,0.6163366436958313,0.7344127297401428,1.4696952104568481
0,179,,,,,0.3804684579372406,0.3757766783237457,2.768925666809082,,,
1,359,,,,,,,,0.7037953734397888,0.8114538788795471,1.1281133890151978
1,359,,,,,0.6195315718650818,0.623760461807251,1.4870721101760864,,,
2,539,,,,,,,,0.7223597168922424,0.8265174031257629,1.03030264377594
2,539,,,,,0.6919788718223572,0.697018563747406,1.1868443489074707,,,
3,719,,,,,,,,0.7378300428390503,0.8387115597724915,0.965609610080719
3,719,,,,,0.7238627076148987,0.7285017371177673,1.0281250476837158,,,
4,899,,,,,,,,0.7547442317008972,0.8499893546104431,0.9179976582527161
4,899,,,,,0.7552667260169983,0.7611814737319946,0.9014551639556885,,,
5,1079,,,,,,,,0.7522689700126648,0.849474310874939,0.938485324382782
5,1079,,,,,0.7813494801521301,0.7859543561935425,0.8018348813056946,,,
6,1259,,,,,,,,0.7584571242332458,0.8536574244499207,0.929375171661377
6,1259,,,,,0.8017184734344482,0.8071292638778687,0.735036313533783,,,
7,1439,,,,,,,,0.7648515105247498,0.8583743572235107,0.9232910871505737
7,1439,,,,,0.8165481686592102,0.8213731646537781,0.6705805659294128,,,
8,1619,,,,,,,,0.7656765580177307,0.8582828044891357,0.9287512302398682
8,1619,,,,,0.8298512697219849,0.8351529240608215,0.6259111762046814,,,
9,1799,,,,,,,,0.7632012963294983,0.8557150959968567,0.9448907971382141
9,1799,,,,,0.8374841809272766,0.8422431945800781,0.5901845693588257,,,
10,1800,0.7506930828094482,0.7506930828094482,0.8482726216316223,0.997611403465271,,,,,,
