epoch,step,test/acc,test/acc_best,test/f1_score,test/loss,train/acc,train/f1_score,train/loss,val/acc,val/f1_score,val/loss
0,358,,,,,,,,0.3525165021419525,0.46699756383895874,2.8264341354370117
0,358,,,,,0.1598988026380539,0.15445733070373535,3.8905012607574463,,,
1,717,,,,,,,,0.4900990128517151,0.6217948198318481,2.0881364345550537
1,717,,,,,0.3694770336151123,0.3714291453361511,2.678709030151367,,,
2,1076,,,,,,,,0.537953794002533,0.6724370718002319,1.8247073888778687
2,1076,,,,,0.45993807911872864,0.46460869908332825,2.2012929916381836,,,
3,1435,,,,,,,,0.5777640342712402,0.707223117351532,1.6319823265075684
3,1435,,,,,0.5145025253295898,0.5193740725517273,1.9412641525268555,,,
4,1794,,,,,,,,0.6134488582611084,0.7413206696510315,1.4852564334869385
4,1794,,,,,0.549090564250946,0.5560290813446045,1.780558466911316,,,
5,2153,,,,,,,,0.6297442317008972,0.7523878216743469,1.3984980583190918
5,2153,,,,,0.5770925283432007,0.5840276479721069,1.659825086593628,,,
6,2512,,,,,,,,0.6342821717262268,0.7598327994346619,1.3705495595932007
6,2512,,,,,0.6033061742782593,0.6094256639480591,1.5471190214157104,,,
7,2871,,,,,,,,0.6538779139518738,0.7762863636016846,1.3023749589920044
7,2871,,,,,0.617089033126831,0.6238973736763,1.469401478767395,,,
8,3230,,,,,,,,0.6625412702560425,0.7807653546333313,1.2711511850357056
8,3230,,,,,0.6286474466323853,0.6361523866653442,1.4169392585754395,,,
9,3589,,,,,,,,0.6695544719696045,0.7874322533607483,1.2487549781799316
9,3589,,,,,0.6425175666809082,0.6493754386901855,1.3619085550308228,,,
10,3590,0.667722761631012,0.667722761631012,0.7823167443275452,1.246551752090454,,,,,,
