epoch,step,test/acc,test/acc_best,test/f1_score,test/loss,train/acc,train/f1_score,train/loss,val/acc,val/f1_score,val/loss
0,179,,,,,,,,0.6216996908187866,0.7419750094413757,1.4432281255722046
0,179,,,,,0.3789854645729065,0.3754245340824127,2.7547292709350586,,,
1,359,,,,,,,,0.7118399143218994,0.819594144821167,1.080125093460083
1,359,,,,,0.620360255241394,0.6236286163330078,1.4710264205932617,,,
2,539,,,,,,,,0.7200907468795776,0.8243610858917236,1.0189132690429688
2,539,,,,,0.6853927969932556,0.6915187239646912,1.1939691305160522,,,
3,719,,,,,,,,0.7415428757667542,0.842287540435791,0.9516014456748962
3,719,,,,,0.7330658435821533,0.7377846837043762,1.0095964670181274,,,
4,899,,,,,,,,0.7508251070976257,0.8482041358947754,0.9277999401092529
4,899,,,,,0.7583199143409729,0.763508677482605,0.8999942541122437,,,
5,1079,,,,,,,,0.7572194933891296,0.8518494367599487,0.9201875925064087
5,1079,,,,,0.7842282056808472,0.7888727784156799,0.7944074869155884,,,
6,1259,,,,,,,,0.7555692791938782,0.8509706854820251,0.9258135557174683
6,1259,,,,,0.7979238629341125,0.8026631474494934,0.7422116994857788,,,
7,1439,,,,,,,,0.7578383088111877,0.8530833721160889,0.9372894763946533
7,1439,,,,,0.8177258372306824,0.8232424855232239,0.6774001717567444,,,
8,1619,,,,,,,,0.7677392959594727,0.8592395186424255,0.9351580142974854
8,1619,,,,,0.8312034010887146,0.8350598216056824,0.6181784272193909,,,
9,1799,,,,,,,,0.7594884634017944,0.8543160557746887,0.9419617056846619
9,1799,,,,,0.8381820321083069,0.8426996469497681,0.5950791835784912,,,
10,1800,0.7542574405670166,0.7542574405670166,0.8500690460205078,0.9879410266876221,,,,,,
