epoch,step,test/acc,test/acc_best,test/f1_score,test/loss,train/acc,train/f1_score,train/loss,val/acc,val/f1_score,val/loss
0,179,,,,,,,,0.6270626783370972,0.7484709024429321,1.4109262228012085
0,179,,,,,0.38299819827079773,0.3795035481452942,2.755000114440918,,,
1,359,,,,,,,,0.6963696479797363,0.8061420321464539,1.1208949089050293
1,359,,,,,0.6164347529411316,0.6205329298973083,1.482765555381775,,,
2,539,,,,,,,,0.7229785323143005,0.8255785703659058,1.014641523361206
2,539,,,,,0.6877917051315308,0.6929142475128174,1.1792631149291992,,,
3,719,,,,,,,,0.7450494766235352,0.8423850536346436,0.9606786370277405
3,719,,,,,0.729489266872406,0.7357316613197327,1.014184594154358,,,
4,899,,,,,,,,0.7510313391685486,0.8470621109008789,0.9360622763633728
4,899,,,,,0.7608932852745056,0.7662162184715271,0.8998619318008423,,,
5,1079,,,,,,,,0.753506600856781,0.8508424758911133,0.9308022260665894
5,1079,,,,,0.7799974083900452,0.7845624685287476,0.8067335486412048,,,
6,1259,,,,,,,,0.7547442317008972,0.8504301309585571,0.9427341222763062
6,1259,,,,,0.7998865842819214,0.8032847046852112,0.7307611107826233,,,
7,1439,,,,,,,,0.7576320171356201,0.8524103164672852,0.9609639048576355
7,1439,,,,,0.8165917992591858,0.8221927285194397,0.6713281869888306,,,
8,1619,,,,,,,,0.7683581113815308,0.8611133098602295,0.9201817512512207
8,1619,,,,,0.8343874216079712,0.8391562104225159,0.6099672317504883,,,
9,1799,,,,,,,,0.7599009871482849,0.8551450371742249,0.9431458711624146
9,1799,,,,,0.8399703502655029,0.8445433378219604,0.580674409866333,,,
10,1800,0.7619801759719849,0.7619801759719849,0.8540371656417847,0.9657154083251953,,,,,,
