epoch,step,test/acc,test/acc_best,test/f1_score,test/loss,train/acc,train/f1_score,train/loss,val/acc,val/f1_score,val/loss
0,179,,,,,,,,0.617986798286438,0.7386283874511719,1.4448211193084717
0,179,,,,,0.3779386878013611,0.37205490469932556,2.752790927886963,,,
1,359,,,,,,,,0.6996699571609497,0.8081035614013672,1.1163781881332397
1,359,,,,,0.6202294230461121,0.6228442788124084,1.4926506280899048,,,
2,539,,,,,,,,0.7246286869049072,0.8267799019813538,1.0208460092544556
2,539,,,,,0.6901469826698303,0.6941876411437988,1.1756144762039185,,,
3,719,,,,,,,,0.739480197429657,0.8400179743766785,0.9639875292778015
3,719,,,,,0.7303615808486938,0.7354723215103149,1.015442132949829,,,
4,899,,,,,,,,0.757013201713562,0.8511741161346436,0.9287546277046204
4,899,,,,,0.755659282207489,0.760120689868927,0.899303674697876,,,
5,1079,,,,,,,,0.7419554591178894,0.8401511311531067,0.9428837895393372
5,1079,,,,,0.7816548347473145,0.787040114402771,0.8028661608695984,,,
6,1259,,,,,,,,0.7611386179924011,0.8541871309280396,0.9054573774337769
6,1259,,,,,0.7967461943626404,0.8021613359451294,0.7431395053863525,,,
7,1439,,,,,,,,0.7673267126083374,0.8595789670944214,0.9101705551147461
7,1439,,,,,0.8138003349304199,0.8197377920150757,0.6794975996017456,,,
8,1619,,,,,,,,0.7615511417388916,0.8558051586151123,0.9448356032371521
8,1619,,,,,0.8295023441314697,0.8335727453231812,0.6251208186149597,,,
9,1799,,,,,,,,0.7638201117515564,0.8555201292037964,0.9572877883911133
9,1799,,,,,0.8408426642417908,0.8464332222938538,0.575520396232605,,,
10,1800,0.7514851689338684,0.7514851093292236,0.8472113609313965,0.9757416844367981,,,,,,
